text,user_location,tweet_date,time,city
ABSURDOS DA #PANDEMIA DO #CORONAVÍRUS NO BRASIL - #Maranhão - Você está trabalhando pra quê? Você não aprendeu que trabalhar na pandemia é coisa de #vagabundo? Considere-se preso! #COVID19 #AcabouPorra #NaoAcabouNao #FlavioDino,"Salto, Brasil",2021-04-01,04:56:02,Salto
"não , nem fudendo NEM FUDENDO","Volta Redonda, Brasil",2021-04-01,04:57:55,Volta Redonda
Esse late late mas aplicar vacina que é bom,"Rio Branco, Brasil",2021-04-01,05:02:16,Rio Branco
Que parte do Ivermectina e Cloroquina n n têm eficiência comprovada cientificamente no combate ao Covid19 esse povo ainda n entendeu? Cansa!,"Balneário Camboriú, Brasil",2021-04-01,04:56:43,Balneário Camboriú
UTILIDADE PÚBLICA.. Qual sua opinião? SIGA: #minaseolugar #MinasGerais #mg #saude #hondaroxa #covid19 #coronavirus #pandemia #brasil #lockdown #fiqueemcasa #nortedeminas #wmcmidia #umminuto,"Montes Claros, Brasil",2021-04-01,04:58:11,Montes Claros
Covid Brasil: país encerra pior mês da pandemia com recorde de mortes,"Pernambuco, Brasil",2021-04-01,05:14:44,Pernambuco
"Que tristeza! Vamos bater muito em breve a triste marca de mais de 4 mil mortos nas últimas 24 hrs. E nada acontece. Bolsonaro segue atacando as medidas restritivas, o Congresso segue não se mexendo... Inacreditável!","Minas Gerais, Brasil",2021-04-01,05:05:39,Minas Gerais
meu Deus do céu 😭😭😭😭 eu tô só o choro :( que vírus maldido,"Rio de Janeiro, Brasil",2021-04-01,05:08:50,Rio de Janeiro
#Brasil encerra pior mês da pandemia com novo recorde: 3.950 mortes em 24 h,"Goiânia, Goiás, Brasil",2021-04-01,05:07:21,Goiânia Goiás
"Notem que o SIVEP ainda não chegou nos 300 mil óbitos por Covid-19 no país. No entanto, quando corrigimos o atraso, a estimativa até dia 3/4/21 sobe para 347.357 [330.110; 380.519] E para essa semana estimamos: 28.802 [14.989; 56.363] O que dá mais de 4 mil óbitos por dia.","Rio de Janeiro, Brasil",2021-04-01,05:12:00,Rio de Janeiro
Agora fiquei mal real,"Sao Paulo, Brazil",2021-04-01,05:07:27,Sao Paulo
"MENTIRA QUE O CHICO DE CHIQUITITAS MORREU, NAOOOOOOOOOOOOOOOO 😭😭😭","Natal, Brasil",2021-04-01,05:10:13,Natal
Não acredito mano 😞,"Serra, Brasil",2021-04-01,05:05:07,Serra
Meu deus...😭💔,"Bagé, Brasil",2021-04-01,05:11:13,Bagé
"Paralisação por COVID-19 *DIA 381* Hoje não tenho nada pra falar porque não fiz nada, to me fingindo de vampira e sumindo durante o dia Coronavírus por favor nos deixe em paz","Campo Belo, Brazil",2021-04-01,05:13:18,Campo Belo
Eterno tio Barnabé :( vá em paz.,"Brasília, Brazil",2021-04-01,05:15:00,Brasília
meu deus nao acredito,"Barbacena, Brasil",2021-04-01,05:13:19,Barbacena
meu deus mano eu amava esse homem,"São Paulo, Brasil",2021-04-01,05:10:05,São Paulo
eu to mt triste😔o cara fez minha infância no sesc muito antes de ter chiquititas,"Osasco, Brasil",2021-04-01,05:05:11,Osasco
Puta que pariu,"Lauro de Freitas, Brasil",2021-04-01,05:10:54,Lauro de Freitas
que tristeza 💔,"Igaratá, Brasil",2021-04-01,05:05:54,Igaratá
"Grande João! Cara, assistia ele, ava suas cenas, seu jeito! Vai fazer muita falta! 💔","Brasília, Brasil",2021-04-01,05:13:02,Brasília
NEM FODENDO MALUCO É PRIMEIRO DE ABRIL SO PODE,"Ubá, Brasil",2021-04-01,05:04:55,Ubá
caralho mas eu to muito triste,"Eldorado do Sul, Brasil",2021-04-01,05:26:59,Eldorado do Sul
tadinho do tio Barnabé :(,"Dourados, Brasil",2021-04-01,05:16:16,Dourados
"Pô, perdemos um dos maiores incentivadores da leitura. Não lembro bem, mas tinha um programa na TV Cultura em que ele contava histórias e dava dicas de livros. Foi um dos personagens que me incentivou a ler.","Brasília, Brasil",2021-04-01,05:24:13,Brasília
"Pensei em SC msm. O foda é que começam a isolar as UTIs convencionais para tratar Covid-19 e o público geral fica sem leito. Culpa desse bando de corno. Tenho ódio especial por moleque que pega a doença, passa pros pais ou avós e toma a vaga dos velhos nos hospitais.","Goiás, Brasil",2021-04-01,05:17:28,Goiás
"Descanse em paz, João Acaiabe. Eterno Chefe Chico de Chiquititas. Marcou minha infância todinha, Mais uma vida levada pela COVID-19","Rio de Janeiro, Brasil",2021-04-01,05:25:14,Rio de Janeiro
ok isso me deixou triste,"Porto Alegre, Brasil",2021-04-01,05:25:24,Porto Alegre
"""NÃO pode ter Páscoa, NÃO pode ter festas, NÃO pode ter aglomerações, NÃO pode ter cerimônias de família, NÃO pode ter festa de Aniv, NÃO PODE TER NADA. Nós vamos ter outras Páscoas nas nossas vidas p/ celebrar"" diz Margareth Dalcolmo #COVID19 #coronavirus","São Paulo, Brasil",2021-04-01,05:21:49,São Paulo
